"term"	"term_count"	"x"	"group"	"included"
"ὑπάρχω"	12418	119	"lxx-nt"	TRUE
"πατήρ"	12417	120	"lxx-nt"	TRUE
"μικρός"	12397	121	"lxx-nt"	TRUE
"ἅμα"	11894	122	"lxx-nt"	TRUE
"ἔργον"	11674	123	"lxx-nt"	TRUE
"πράσσω"	11631	124	"lxx-nt"	TRUE
"ἴσος"	11561	125	"lxx-nt"	TRUE
"χρή"	11556	126	"lxx-nt"	TRUE
"ἄρχω"	11519	127	"lxx-nt"	TRUE
"μήν"	11478	128	"lxx-nt"	TRUE
"παῖς"	11462	129	"lxx-nt"	TRUE
"οἴομαι"	11433	130	"lxx-nt"	TRUE
"τότε"	11406	131	"lxx-nt"	TRUE
"ὕδωρ"	11321	132	"lxx-nt"	TRUE
"πρᾶγμα"	11210	133	"lxx-nt"	TRUE
"ὀλίγος"	11189	134	"lxx-nt"	TRUE
"τόπος"	11157	135	"lxx-nt"	TRUE
"ἴδιος"	11092	136	"lxx-nt"	TRUE
"ἀλλήλων"	11082	137	"lxx-nt"	TRUE
"εὑρίσκω"	11071	138	"lxx-nt"	TRUE
"νόμος"	11044	139	"lxx-nt"	TRUE
"τρόπος"	11007	140	"lxx-nt"	TRUE
"συμβαίνω"	10680	141	"lxx-nt"	TRUE
"μέσος"	10565	142	"lxx-nt"	TRUE
"τοσοῦτος"	10482	143	"lxx-nt"	TRUE
"τυγχάνω"	10474	144	"lxx-nt"	TRUE
"χείρ"	10385	145	"lxx-nt"	TRUE
"ἀεί"	10371	146	"lxx-nt"	TRUE
"ἄγω"	10319	147	"lxx-nt"	TRUE
"ἔοικα"	10272	148	"lxx-nt"	TRUE
"πάσχω"	10149	149	"lxx-nt"	TRUE
"ζῷον"	9979	150	"lxx-nt"	TRUE
"πῶς"	9936	151	"lxx-nt"	TRUE
"δίκαιος"	9857	152	"lxx-nt"	TRUE
"γένος"	9768	153	"lxx-nt"	TRUE
"γιγνώσκω"	9714	154	"lxx-nt"	TRUE
"φίλος"	9542	155	"lxx-nt"	TRUE
"ἐναντίος"	9447	156	"lxx-nt"	TRUE
"πλῆθος"	9410	157	"lxx-nt"	TRUE
"εἶτα"	9345	158	"lxx-nt"	TRUE
"μέλλω"	9331	159	"lxx-nt"	TRUE
"πόλεμος"	9280	160	"lxx-nt"	TRUE
"εὐθύς"	9154	161	"lxx-nt"	TRUE
"καθά"	9150	162	"lxx-nt"	TRUE
"πάρειμι"	9135	163	"lxx-nt"	TRUE
"χώρα"	8950	164	"lxx-nt"	TRUE
"τίθημι"	8865	165	"lxx-nt"	TRUE
"νομίζω"	8811	166	"lxx-nt"	TRUE
"ἐλαχύς"	8576	167	"lxx-nt"	TRUE
"ὅστις"	8572	168	"lxx-nt"	TRUE
"ἐθέλω"	8519	169	"lxx-nt"	TRUE
"ὅπως"	8464	170	"lxx-nt"	TRUE
"ἀληθής"	8454	171	"lxx-nt"	TRUE
"κοινός"	8453	172	"lxx-nt"	TRUE
"κινέω"	8403	173	"lxx-nt"	TRUE
"ὅτε"	8348	174	"lxx-nt"	TRUE
"σύν"	8297	175	"lxx-nt"	TRUE
"δείκνυμι"	8162	176	"lxx-nt"	TRUE
"ὀνομάζω"	7979	177	"lxx-nt"	TRUE
"λοιπός"	7948	178	"lxx-nt"	TRUE
"Ῥωμαῖος"	7921	179	"lxx-nt"	TRUE
"τοίνυν"	7726	180	"lxx-nt"	TRUE
"αἰτία"	7722	181	"lxx-nt"	TRUE
"τρεῖς"	7721	182	"lxx-nt"	TRUE
"δεύτερος"	7687	183	"lxx-nt"	TRUE
"ἀνάγκη"	7672	184	"lxx-nt"	TRUE
"μέντοι"	7635	185	"lxx-nt"	TRUE
"βίος"	7586	186	"lxx-nt"	TRUE
"πρό"	7523	187	"lxx-nt"	TRUE
"κεφαλή"	7514	188	"lxx-nt"	TRUE
"καιρός"	7444	189	"lxx-nt"	TRUE
"πολέμιος"	7399	190	"lxx-nt"	TRUE
"θάλασσα"	7387	191	"lxx-nt"	TRUE
"μέχρι"	7383	192	"lxx-nt"	TRUE
"θερμός"	7355	193	"lxx-nt"	TRUE
"ζάω"	7315	194	"lxx-nt"	TRUE
"πείθω"	7298	195	"lxx-nt"	TRUE
"ἀρετή"	7282	196	"lxx-nt"	TRUE
"κελεύω"	7248	197	"lxx-nt"	TRUE
"πνεῦμα"	7241	198	"lxx-nt"	TRUE
"ἡγέομαι"	7232	199	"lxx-nt"	TRUE
"Ἀθηναῖος"	7207	200	"lxx-nt"	TRUE
"τρίτος"	7166	201	"lxx-nt"	TRUE
"πάθος"	7107	202	"lxx-nt"	TRUE
"παρέχω"	7093	203	"lxx-nt"	TRUE
"φάρμακον"	7078	204	"lxx-nt"	TRUE
"ταχύς"	7064	205	"lxx-nt"	TRUE
"Ζεύς"	7022	206	"lxx-nt"	TRUE
"ὀρθός"	7021	207	"lxx-nt"	TRUE
"διαφέρω"	6862	208	"lxx-nt"	TRUE
"Ἕλλην"	6803	209	"lxx-nt"	TRUE
"μόριον"	6754	210	"outside-lxx-nt"	TRUE
"πολλάκις"	6718	211	"lxx-nt"	TRUE
"εἶδος"	6676	212	"lxx-nt"	TRUE
"πῦρ"	6667	213	"lxx-nt"	TRUE
"κίνησις"	6656	214	"lxx-nt"	TRUE
"πούς"	6510	215	"lxx-nt"	TRUE
